Location ID,Name,Development,Security lvl,Area,Guards,Conscripts,Scholars,Sympathizers,Warriors,Commoners
1,Alta Floresta,Wilderness,1,125000,1,6,1,18,1,98
2,Apui,Wilderness,5,248107,0,0,0,0,0,0
3,Aldeia,Wilderness,4,2336074,15,48,5,160,12,825
4,Jardim,Wilderness,3,313645,3,5,1,20,2,104
5,Chamleon,Wilderness,3,437699,4,7,1,28,3,144
11,Jacarea,Wilderness,1,4156676,19,95,9,284,19,1469
13,Fordland,Wilderness,1,45000,0,2,0,5,0,23
14,Jatobal,Wilderness,1,395567,2,8,1,25,2,131
19,Manaus,Urban,2,20777694,194,680,777,485,291,7290
,Saerim,Civilized,3,17341473,162,568,649,406,243,6083
